t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 2.13698630136986301368E+0000  2.52701837451794723649E+0002  2.52701837451794723649E+0002  2.52701837451794723649E+0002  1.99272671791375264372E+0002  2.82438981169525700265E+0002  7.32573536573158673026E-0005  7.32573536573158673026E-0005  7.32573536573158673026E-0005  7.32710649826295146401E-0005  7.31888157108511934146E-0005
 2.16438356164383561642E+0000  2.79436306150422687472E+0002  2.79436306150422687472E+0002  2.79436306150422687472E+0002  2.26514441428183167779E+0002  2.25391846314679086261E+0002  7.32482838774314916437E-0005  7.32482838774314916437E-0005  7.32482838774314916437E-0005  7.32619932022978939759E-0005  7.31797560513656793469E-0005
 2.19178082191780821916E+0000  3.06275226909049913565E+0002  3.06275226909049913565E+0002  3.06275226909049913565E+0002  2.53815239957701531764E+0002  2.58401720811253541032E+0002  7.32359221121824268701E-0005  7.32359221121824268701E-0005  7.32359221121824268701E-0005  7.32496286932447026849E-0005  7.31674082714453020436E-0005
 2.21917808219178082189E+0000  3.33259304648987278508E+0002  3.33259304648987278508E+0002  3.33259304648987278508E+0002  2.81407348398555263058E+0002  2.78412871804564326206E+0002  7.32362087146061934369E-0005  7.32362087146061934369E-0005  7.32362087146061934369E-0005  7.32499153021980191181E-0005  7.31676951776986440901E-0005
 2.24657534246575342463E+0000  2.24574089438294242384E-0001  2.24574089438294242384E-0001  2.24574089438294242384E-0001  3.09000743554230788812E+0002  2.95958126881541257830E+0002  7.32411756021271926042E-0005  7.32411756021271926042E-0005  7.32411756021271926042E-0005  7.32548832348776887907E-0005  7.31726570761064254400E-0005
 2.27397260273972602737E+0000  2.72865145832508271054E+0001  2.72865145832508271054E+0001  2.72865145832508271054E+0001  3.36434450507276151837E+0002  3.13403059224872642036E+0002  7.32536811710284333382E-0005  7.32536811710284333382E-0005  7.32536811710284333382E-0005  7.32673914671728711534E-0005  7.31851497337231076826E-0005
 2.30136986301369863010E+0000  5.44286098190411883058E+0001  5.44286098190411883058E+0001  5.44286098190411883058E+0001  3.87761012847742893793E+0000  3.30473710781468059672E+0002  7.32608194828558543003E-0005  7.32608194828558543003E-0005  7.32608194828558543003E-0005  7.32745312458968230054E-0005  7.31922812640036552217E-0005
 2.32876712328767123284E+0000  8.14330372698205404922E+0001  8.14330372698205404922E+0001  8.14330372698205404922E+0001  3.12647079740088135631E+0001  3.46877965636136349453E+0002  7.32694969000858791363E-0005  7.32694969000858791363E-0005  7.32694969000858791363E-0005  7.32832104738110978922E-0005  7.32009501356627028630E-0005
 2.35616438356164383558E+0000  1.08488923106248924669E+0002  1.08488923106248924669E+0002  1.08488923106248924669E+0002  5.84997548860623918891E+0001  3.65004750579451218181E+0000  7.32685124118256100645E-0005  7.32685124118256100645E-0005  7.32685124118256100645E-0005  7.32822256969792361389E-0005  7.31999675316710389817E-0005
 2.38356164383561643831E+0000  1.35582975720572130471E+0002  1.35582975720572130471E+0002  1.35582975720572130471E+0002  8.55479661028242093432E+0001  2.06822326750750988354E+0001  7.32659338520802032688E-0005  7.32659338520802032688E-0005  7.32659338520802032688E-0005  7.32796465013224683062E-0005  7.31973925878817636891E-0005
 2.41095890410958904105E+0000  1.62516572440098318736E+0002  1.62516572440098318736E+0002  1.62516572440098318736E+0002  1.12481504459694992372E+0002  3.74380210414642810787E+0001  7.32570175066684549753E-0005  7.32570175066684549753E-0005  7.32570175066684549753E-0005  7.32707281216556544570E-0005  7.31884869350471084125E-0005
