t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 1.47945205479452054789E+0000  7.55036777924275296359E+0001  7.55036777924275296359E+0001  7.55036777924275296359E+0001  1.01273030557383625257E+0001  3.56544904747692074365E+0002  7.34632823400216049122E-0005  7.34632823400216049122E-0005  7.34632823400216049122E-0005  7.34769966955570024244E-0005  7.33947200012238937167E-0005
 1.50684931506849315074E+0000  1.12964814887683074052E+0002  1.12964814887683074052E+0002  1.12964814887683074052E+0002  4.73026814857588121105E+0001  2.44769484268036882114E+0001  7.34726726556475825075E-0005  7.34726726556475825075E-0005  7.34726726556475825075E-0005  7.34863890076463316597E-0005  7.34041006623689858789E-0005
 1.53424657534246575348E+0000  1.50431652217632294694E+0002  1.50431652217632294694E+0002  1.50431652217632294694E+0002  8.44433567842429777250E+0001  5.22626164504072671033E+0001  7.34774367908215593712E-0005  7.34774367908215593712E-0005  7.34774367908215593712E-0005  7.34911541435129995222E-0005  7.34088600340821883937E-0005
 1.56164383561643835621E+0000  1.87900070812586964683E+0002  1.87900070812586964683E+0002  1.87900070812586964683E+0002  1.21513730468420744477E+0002  8.00093963222909957053E+0001  7.34782158255190683989E-0005  7.34782158255190683989E-0005  7.34782158255190683989E-0005  7.34919333168481670337E-0005  7.34096385649407323985E-0005
 1.58904109589041095895E+0000  2.25392093463340127249E+0002  2.25392093463340127249E+0002  2.25392093463340127249E+0002  1.59144224117049649131E+0002  1.06458109838501576890E+0002  7.34769755662364857904E-0005  7.34769755662364857904E-0005  7.34769755662364857904E-0005  7.34906927434283502903E-0005  7.34084001357870348735E-0005
 1.61643835616438356169E+0000  2.62861636283245788531E+0002  2.62861636283245788531E+0002  2.62861636283245788531E+0002  1.97115447439495381957E+0002  1.31749702754681214750E+0002  7.34664108042726570626E-0005  7.34664108042726570626E-0005  7.34664108042726570626E-0005  7.34801256413462748319E-0005  7.33978472692300195300E-0005
 1.64383561643835616442E+0000  3.00281441855439339778E+0002  3.00281441855439339778E+0002  3.00281441855439339778E+0002  2.35000102522898097188E+0002  1.57068937311315363806E+0002  7.34584925183829218824E-0005  7.34584925183829218824E-0005  7.34584925183829218824E-0005  7.34722056107759434110E-0005  7.33899377981715525950E-0005
 1.67123287671232876716E+0000  3.37625674840975806446E+0002  3.37625674840975806446E+0002  3.37625674840975806446E+0002  2.72831927341441132367E+0002  1.82330098491498109783E+0002  7.34469245538459003437E-0005  7.34469245538459003437E-0005  7.34469245538459003437E-0005  7.34606350845162366448E-0005  7.33783828545416090785E-0005
 1.69863013698630136990E+0000  1.48239549562825118243E+0001  1.48239549562825118243E+0001  1.48239549562825118243E+0001  3.10854056441621105666E+0002  2.06389113372899347956E+0002  7.34458952640489696418E-0005  7.34458952640489696418E-0005  7.34458952640489696418E-0005  7.34596055253079707331E-0005  7.33773551797820178739E-0005
 1.72602739726027397263E+0000  5.18930771314521829436E+0001  5.18930771314521829436E+0001  5.18930771314521829436E+0001  3.49002324506327916032E+0002  2.29288905251102022961E+0002  7.34466569396393268595E-0005  7.34466569396393268595E-0005  7.34466569396393268595E-0005  7.34603673310705762383E-0005  7.33781164216270504901E-0005
